,Job_Title,Company_Name,Job_Description
19,Software Developer,AIESEC - MANSOURA,"Internship · Entry Level · Software Development · Information Technology (IT) · Software Engineering · Computer Science · Computing · Development · Git · English · Programming · Software Design - November 1, 2020"
20,Senior E-Commerce Software Developer (Magento 2),shop4build,Full Time · Part Time · Work From Home · Experienced · 2+ Yrs of Exp · E-Commerce · PHP · MySQL · Agile · Information Technology (IT) · Computer Science · Software · CSS · javaScript · HTML - New
21,Software Implementation Specialist,Informatique Education,"Full Time · Entry Level · 1-3 Yrs of Exp · Software Implementation · Database Fundamentals · Software Development · Computer Science · Computer Engineering · Information Technology (IT) · Software - November 4, 2020"
22,Software Developer,Interact Technology Solutions,· Experienced · 2-4 Yrs of Exp · Microsoft Office · OOP concept · C# · ASP.NET · JavaScript · SQL · Microsoft CRM · SharePoint · MVC · Knockout · Angular JS · Computer Engineering · .NET - New
23,Senior Software Developer,Bnsights,Full Time · Experienced · 3-5 Yrs of Exp · Software Development · Information Technology (IT) · Computer Science · SQL · MVC · Angular · C# · .NET · Programming · Design · Software - New
24,Software Quality Control Engineer,Bnsights,Full Time · Entry Level · 0-3 Yrs of Exp · Computer Science · Quality Control · Information Technology (IT) · Quality Assurance · Software Testing · Testing · Software Development · ISTQB · Agile - New
25,Senior Software Developer – “.Net Core” (4-6...,CrossWorkers,"· Experienced · 3-15 Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · Software Engineering · SCRUM · Git · Unit Test · Web API · ASP.NET · MVC · .NET Core - November 22, 2020"
26,Junior Technical Support Engineer - Upper Egypt,MigrationIT.com,"Full Time · Entry Level · 1-2 Yrs of Exp · ITIL · Technical Support · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Software · Hardware - November 10, 2020"
27,Software Developer,Bnsights,Full Time · Entry Level · 0-3 Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · Software Engineering · SQL · Software · Angular · C# · .NET · Design · MVC - New
28,Software Developer,Rashideen Egypt for Trade,"Full Time · Entry Level · 1-3 Yrs of Exp · Information Technology (IT) · Computer Science · Computer Engineering · Software Development · Software Engineering · Microsoft SQL Server · ERP · SQL - October 25, 2020"
29,Software Developer,Rednet It Services,Full Time · Experienced · 2-3 Yrs of Exp · Software Development · C# · .NET · OOP · ADO.NET · SSRS · SSIS · Computer Engineering · Computer Science · Windows Forms · XML · javaScript · XSLT - New
30,Magento Software Developer,Interact Technology Solutions,"· Experienced · 2-4 Yrs of Exp · Microsoft Office · OOP concept · C# · ASP.NET · JavaScript · SQL · Microsoft CRM · SharePoint · MVC · Knockout · Angular JS · Computer Engineering · .NET - November 18, 2020"
31,Software Developer,AIESEC - MANSOURA,"Internship · Entry Level · Software Development · Information Technology (IT) · Software Engineering · Computer Science · Computing · Development · Git · English · Programming · Software Design - November 1, 2020"
32,Sales Supervisor - South Upper Egypt,PepsiCo International,"Full Time · Manager · 1-3 Yrs of Exp · FMCG · Sales · Retail · Sales Skills · Sales/Retail - October 28, 2020"
33,Senior Software Quality Control Engineer,Bnsights,Full Time · Experienced · 3-5 Yrs of Exp · Computer Science · Quality Control · Information Technology (IT) · Quality Assurance · Software Testing · Testing · Software Development · ISTQB · Agile - New
34,Vodafone Egypt Customer Care Advisor,Vodafone Egypt,"Full Time · Entry Level · 0-3 Yrs of Exp · Advisor · Customer Care · Customer Service · Customer Support · English · Communication · CCNA · Call Center · Customer Service/Support - November 17, 2020"
35,Senior Software Developer,Bnsights,Full Time · Experienced · 3-5 Yrs of Exp · Software Development · Information Technology (IT) · Computer Science · SQL · MVC · Angular · C# · .NET · Programming · Design · Software - New
36,Software Implementation Specialist,Informatique Education,"Full Time · Entry Level · 1-3 Yrs of Exp · Software Implementation · Database Fundamentals · Software Development · Computer Science · Computer Engineering · Information Technology (IT) · Software - November 4, 2020"
37,Vodafone Egypt Customer Care Advisor,Vodafone Egypt,"Full Time · Entry Level · 0-3 Yrs of Exp · Advisor · Customer Care · Customer Service · Customer Support · English · Communication · CCNA · Call Center · Customer Service/Support - November 17, 2020"
38,Senior Software Developer (Embedded C++),CrossWorkers,"Full Time · Experienced · 4+ Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Software · Agile · C++ · Programming · Scrum · Embedded - November 22, 2020"
39,Magento Software Developer,Interact Technology Solutions,"· Experienced · 2-4 Yrs of Exp · Microsoft Office · OOP concept · C# · ASP.NET · JavaScript · SQL · Microsoft CRM · SharePoint · MVC · Knockout · Angular JS · Computer Engineering · .NET - November 18, 2020"
40,IT Manager,Al Andalous Medical Company,"Full Time · Manager · 10-15 Yrs of Exp · IT · Manager · Information Technology (IT) · Project Management · Computer Science · Engineering · Pharmaceutical · IS · Less · SAP · ERP - November 2, 2020"
41,IT Help Desk Specialist, ,"Full Time · Entry Level · 1+ Yrs of Exp · Males Only · Help Desk · English · Information Technology (IT) · Installation · Computer Science · CCNA · MCSE · Installation/Maintenance/Repair - November 2, 2020"
42,IT Help Desk Engineer - Nile Badrawi Hospital,Cleopatra Hospitals Group,"Full Time · Experienced · 2+ Yrs of Exp · Help Desk · Computer Science · Information Technology (IT) · Installation · Software · Computer Systems · English · Information Technology · Microsoft - November 19, 2020"
43,IT Technical Support Specialist,The Egyptian Company For Prestressed Concrete,"Full Time · Experienced · 2-4 Yrs of Exp · Technical Support · Troubleshooting · Software · Computer Science · Information Technology (IT) · Computer Hardware · IT · Hardware · Installation - November 9, 2020"
44,IT Technical Support Specialist, ,"Full Time · Entry Level · 1-4 Yrs of Exp · Information Technology (IT) · Communications Engineering · Engineering · Computer Hardware · CCNA · MCSA · Microsoft Exchange Server · Installation - November 16, 2020"
45,IT Manager,Expand Cart,Full Time · Manager · 6-10 Yrs of Exp · Information Technology (IT) · Computer Science · Project Management · Engineering · Management · Information Systems · Telecom · Computer Engineering - New
46,IT Team Leader,World Business Fitness,"Full Time · Manager · 5-7 Yrs of Exp · IT · Information Technology (IT) · Computer Science · Software · IT/Software Development · Engineering - Telecom/Technology - October 25, 2020"
47,Assistant IT Manager - Alexandria,Paradise Inn Hotels & Resorts,"Full Time · Manager · 7+ Yrs of Exp · Information Technology (IT) · Computer Science · Computer · Network Administration · Network Installation · Data Center Management · Data Governance · Software - November 23, 2020"
48,IT Specialist,La-Verde Real Estate,"Full Time · Experienced · 2-3 Yrs of Exp · Information Technology (IT) · Computer Science · SOPHOS Firewall · Installation · CCNA · Maintenance · Firewall · MCSA · Windows Server · SOPHOS - November 9, 2020"
49,IT Operations Team Leader,Union Group,"Full Time · Manager · 5-7 Yrs of Exp · Information Technology (IT) · Telecommunication · Computer Science · ITIL V3 · Cloud Architecture · IT Operations · Software Development · Software Engineering - November 10, 2020"
50,IT programming Intern (.Net) - Seven,AIESEC - MANSOURA,"Internship · Entry Level · Information Technology (IT) · Computer Science · Programming · Software Development · Engineering · Computer · .NET · English · Node.js · React JS · Computer Engineering - November 5, 2020"
51,Senior Java Spring Developer,Digital Force,"Full Time · Experienced · 5-7 Yrs of Exp · Git · Tomcat · Software Development · Information Technology (IT) · Java · Computer Science · CSS · HTML · English · Oracle DB · MS SQL · Full Stack - November 12, 2020"
52,IT Help Desk Specialist,E3mel Business for Financial & Managerial Consultancy,"Full Time · Entry Level · 1-3 Yrs of Exp · Males Only · Information Technology (IT) · Help Desk · Computer Science · Installation · Computer · Information Technology · Technology · Science - November 16, 2020"
53,IT Manager/ Project Manager, ,"Full Time · Manager · 5+ Yrs of Exp · Information Technology (IT) · PMP · Software · Projects · Software Projects · Project Management · Engineering · Computer Science · Digital Transformation - November 11, 2020"
54,IT Specialist,London International Patient Services,"Full Time · Entry Level · 1-3 Yrs of Exp · Computer Science · Information Technology (IT) · CCNA · CISSP · MCSE · Installation · Maintenance · Firewall · Computer Engineering · Computer · Science - November 17, 2020"
55,IT Help Desk, ,"Full Time · Entry Level · 1+ Yrs of Exp · IT HelpDesk · Information Technology (IT) · Software · CCNA · Computer Maintenance · Computer Science · Computer Hardware · MSCA · MCSE · Configurations - November 11, 2020"
56,Head Of Sales (IT Background),Premier Services and Recruitment,"Full Time · Manager · 10-15 Yrs of Exp · Sales Manager · Sales Director · Business Development Manager · Business Development Director · Business Solution · IT Solution · Sales · Business Development - October 4, 2020"
57,IT Specialist,El Massria Integrated Schools,"Full Time · Experienced · 2+ Yrs of Exp · Information Technology (IT) · Computer Science · it help desk · Installation · Maintenance · Computer Hardware · Hardware · Software - November 12, 2020"
58,IT Assistant Manager, ,"Full Time · Experienced · 12+ Yrs of Exp · Information Technology (IT) · Software · Hardware · Computer Science · Computer Engineering · System Administration · IT/Software Development - November 10, 2020"
59,IT System Analyst - Banking,Xceed,"Full Time · Work From Home · Experienced · 7+ Yrs of Exp · Information Technology (IT) · Computer Science · Software · French · Business Analysis · Analysis · Banking · Business · CRM · IS - November 8, 2020"
60,Backend Developer,Bites for Development,"Full Time · Experienced · 3-6 Yrs of Exp · JavaScript · Node.js · Docker · Typescript based API · Information Technology (IT) · Computer Science · Software Development · PHP · Agile · APIs - October 11, 2020"
61,Senior Back-End Developer,TravelYalla,"Full Time · Experienced · 4+ Yrs of Exp · Ajax · JSON · Code Versioning Tools · Git · CSS3 · Payments Gateways · Affiliate Management System · Payfort · Paypal · Authorize.net · Google Checkout - October 12, 2020"
62,UI Developer / Designer,Future Face,"Full Time · Experienced · 4-10 Yrs of Exp · Information Technology (IT) · Computer Science · UI · Software Development · UX · CSS · HTML · javaScript · Bootstrap · Adobe Illustrator · jQuery - October 15, 2020"
63,Senior iOS Developer,Mongez,"Full Time · Experienced · 4+ Yrs of Exp · Startup · Swift · Cocoa Touch · Realm · MVP · MVVM · Viper · RxSwift · Gitflow · CI/CD · Core Data · iOS · Information Technology (IT) · Agile - October 10, 2020"
64,Senior International Marketing Specialist,ITIDA,"Full Time · Experienced · 3-5 Yrs of Exp · Marketing · E-marketing · Digital Marketing · Business Administration · Research · Social Media · English · Computer Skills · Business · MS Office - October 14, 2020"
65,Full-Stack WordPress Developer, ,"Full Time · Experienced · 3-5 Yrs of Exp · Software Development · Information Technology (IT) · Computer Science · PHP · WordPress · JQuery · English · javaScript · HTML · CSS · HTML5 · CSS3 - October 14, 2020"
66,Senior Front End Developer,Premier Services and Recruitment,"Full Time · Experienced · 3-5 Yrs of Exp · Software Development · Computer Science · javaScript · CSS · HTML5 · frontend Developer · Senior FrontEnd Developer · Information Technology (IT) · jQuery - October 13, 2020"
67,iOS Developer,Ads Solution,"Full Time · Entry Level · 1-3 Yrs of Exp · Information Technology (IT) · Computer Science · iOS · Software Development · Swift · Mobile Development · APIs · Git · RESTful · RESTful APIs · Design - October 12, 2020"
68,Front-End Developer (Vue.js),BeSteam,"Full Time · Experienced · 2-3 Yrs of Exp · Information Technology (IT) · Software Development · javaScript · HTML5 · Git · Computer Science · CSS · LESS · SVN · Web · Frameworks · CSS3 · SASS - November 16, 2020"
69,Business Development Specialist,Talents Arena,"Full Time · Entry Level · 1-2 Yrs of Exp · Business Development · English · Marketing · Research · Business · Sales Skills · Software Engineering · Sales · Sales Target · Advertising - November 8, 2020"
70,Flutter Developer,BCS,"Full Time · Experienced · 2-5 Yrs of Exp · Application · Development · Computer Science · Flutter · Software Development · IT/Software Development - October 27, 2020"
71,Sr. Android Developer,TruDoc 24x7,"Full Time · Experienced · 3+ Yrs of Exp · Android · Software Development · Mobile Development · Android SDK · RESTful · Git · Applications · Android UI Design · kotlin · Development - November 16, 2020"
72,Senior .NET Developer Back-end,Dexef,"Full Time · Experienced · 4-10 Yrs of Exp · senior .net developer · html · css · javascript · jquery · entity framework · Information Technology (IT) · Computer Science · Software Development - October 14, 2020"
73,Senior Full Stack Developer,Global Vision,"Full Time · Experienced · 5-7 Yrs of Exp · Computer Science · javaScript · Full Stack · Angular · Bootstrap · Design · RESTful · Ruby · PostgreSQL · NodeJS · Software Development - October 15, 2020"
74,Senior Android Developer,Tocaan,"Full Time · Work From Home · Experienced · 4+ Yrs of Exp · Android · Information Technology (IT) · Computer Science · Software Development · RESTful · APIs · Flutter · RESTful APIs · Development - October 11, 2020"
75,Mobile Development Lead - Android & iOS,Ghyma for Tourism,"Work From Home · Manager · 2-4 Yrs of Exp · Android · iOS · RESTful · Mobile Development · Git · UI · Design · Information Technology (IT) · APIs · Computer Science · Software Development - November 12, 2020"
76,Full Stack (PHP) Developer,Tech-Hub,"Full Time · Experienced · 4-5 Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · javaScript · Angular · PHP · MySQL · jQuery · Web Development · MVC · HTML5 - November 16, 2020"
77,Front-End Developer (React),Majal,"Full Time · Experienced · 3+ Yrs of Exp · Computer Science · Software Development · CSS · HTML · Front-End · React · Git · SASS · Design · Redux · Javascript · ES6 · React Native - October 15, 2020"
78,Senior SharePoint Developer - Nintex Experience,Ebtkarat Information Technology,"Full Time · Experienced · 7+ Yrs of Exp · SharePoint · .NET · MVC · ASP.NET · Information Technology (IT) · Computer Science · Software Development · Engineering · HTML · TFS · JS · jQuery - October 14, 2020"
79,Senior Front End Developer,Radivision,"Full Time · Experienced · 4+ Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · javaScript · Agile · JSON · AWS · SEO · API · Development · Testing · Git - October 13, 2020"
80,PHP Laravel Developer,Esmaar,"Full Time · Entry Level · 1-4 Yrs of Exp · PHP · Laravel · Information Technology (IT) · Software Testing · CSS3 · MySQL · Git · Computer Science · javaScript · Engineering · HTML5 · SQL - November 7, 2020"
81,Senior Android Developer,Singleclic,"Full Time · Experienced · 3+ Yrs of Exp · Android · Information Technology (IT) · Computer Science · Software Development · Mobile Development · Kotlin · UI · Design · Development · UX · API - October 6, 2020"
82,Senior Oracle JD Edwards Technical Developer,Orchidia Pharmaceutical Industries,"Full Time · Experienced · 4+ Yrs of Exp · Computer Science · Information Technology (IT) · Oracle · AME · Oracle Applications · SQL · Software · Testing · XML · Computer Engineering · ERP - November 19, 2020"
83,Android Developer,BrandMark - Marketing Solutions,"Full Time · Experienced · 2-4 Yrs of Exp · Android · Information Technology (IT) · Computer Science · Software Development · Mobile Development · SDK · Git · RESTful · Coding · Google’s Android - November 10, 2020"
84,UI Designer & Front End Developer,Worex,Full Time · Experienced · 3-5 Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · UI · Design · UX · javaScript · HTML5 · CSS3 · Agile · Java · Scrum · Photoshop - New
85,Power BI Developer,Centro Global Solutions,"Full Time · Entry Level · 1-8 Yrs of Exp · Computer Science · Power BI · SQL · Business Intelligence · javaScript · .Net · Information Technology (IT) · Data Modeling · Testing · Business · ETL - November 18, 2020"
86,Senior Node. Js Developer,3D Diagnostix,Full Time · Experienced · 5+ Yrs of Exp · Computer Engineering · Computer Science · MEAN Stack Developement · NodeJS · ExpressJS · Restify · Angular 1 · React · HTML5 · Angular · LESS/SASS - New
87,React Native Mobile Developer,Alexandria For Programming,"Full Time · Experienced · 2-3 Yrs of Exp · Information Technology (IT) · React Native · Software Development · React · Android · RESTful · Native · XCode · JSON · Agile · APIs · Computer Science - November 8, 2020"
88,Technical Expert (AKA Engineer),North South Consultants Exchange,Full Time · Experienced · 8+ Yrs of Exp · Engineering · Energy · Renewable Energy · AKA Engineering · Engineering - Oil & Gas/Energy · Engineering - Other - New
89,Front End Developer,ApexAITechnologies,"Full Time · Entry Level · 1-3 Yrs of Exp · Information Technology (IT) · Angular · HTML · css · javaScript · Web · Typescript · Computer Science · Software Development · Engineering · SASS - November 5, 2020"
90,Front-End Developer -Brazil,AIESEC - MANSOURA,"Internship · Entry Level · Computer Science · Information Technology (IT) · Software Development · javaScript · CSS · Development · IT/Software Development · Engineering - Telecom/Technology - October 5, 2020"
91,Senior Front-End Developer,appcorp,"Full Time · Experienced · 3+ Yrs of Exp · Information Technology (IT) · React · jQuery · HTML · PHP · CSS · javaScript · Software Development · Computer Science · Git · Bootstrap · LESS · VAS - November 8, 2020"
92,Back End Developer (PHP - Laravel),Majal,"Full Time · Experienced · 2-5 Yrs of Exp · PHP · Laravel · MySQL · API · MVC · Computer Science · Git · SQL · AWS · Information Technology (IT) · Engineering · REST · Software Development - October 6, 2020"
93,Front End Developer,Irithm,"Full Time · Work From Home · Experienced · 3-5 Yrs of Exp · Software Development · Computer Science · Information Technology (IT) · Front-End · javaScript · Angular · Agile · Design · API · React - November 9, 2020"
94,Senior Dot Net Developer,Orient Egypt,"Full Time · Experienced · 5+ Yrs of Exp · .NET · ASP.NET · C# · javaScript · MVC · Entity Framework · Programming · Computer Science · jQuery · Information Technology (IT) · SOAP · SQL - October 13, 2020"
95,Backend Developer (Node.Js),Yalla Fel Sekka,"Full Time · Experienced · 3-5 Yrs of Exp · Software Development · Computer Science · Node · JS · Web Development · Information Technology (IT) · javaScript · PHP · Java · Python · Programming - November 10, 2020"
96,Full Stack Developer,GCCS Ads,"Full Time · Experienced · 5+ Yrs of Exp · Computer Science · javaScript · Software Development · Full Stack · Information Technology (IT) · HTML · CSS · PHP · MySQL · jQuery · .NET · React - October 4, 2020"
97,Office Manager,Minds,"Full Time · Experienced · 5-10 Yrs of Exp · MS Office · Office Management · Business Administration · PA · Information Technology (IT) · Computer Science · Microsoft Office · English · IT - October 22, 2020"
98,UI Developer,Andalusia Group,Full Time · Experienced · 2-4 Yrs of Exp · Computer Science · UI · Software Development · Information Technology (IT) · UX · javaScript · CSS · HTML5 · CSS3 · IT/Software Development - New
99,PHP Laravel Developer/Tester,Esmaar,"Full Time · Entry Level · 1-4 Yrs of Exp · PHP · Laravel · Information Technology (IT) · Software Testing · CSS3 · MySQL · Git · Computer Science · javaScript · Engineering · HTML5 · SQL - October 4, 2020"
100,Cross Platform Mobile Developer,MigrationIT.com,"Full Time · Experienced · 3+ Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · Software Engineering · Mobile Development · React · Git · React Native · APIs - September 30, 2020"
101,Front-End Web Developer (Angular),DIRAC SYSTEMS,"Full Time · Experienced · 3-8 Yrs of Exp · Angular · javaScript · Software Development · Automation · Information Technology (IT) · Communication Skills · Computer Science · Banking · HTML · CSS - October 2, 2020"
102,Business Developer Intern,Magdsoft,"Internship · Student · 0-1 Yrs of Exp · Business Development · Sales · Software Sales · SWE · English · Microsoft Office · Business Development · IT/Software Development · Sales/Retail - October 18, 2020"
103,Android Mobile Developer,QCENTRIS,"Full Time · Experienced · 5+ Yrs of Exp · Android · Information Technology (IT) · Computer Science · Software Development · Engineering · Agile · MVC · Kotlin · IT/Software Development - September 29, 2020"
104,Senior Web Developer,SAED,"Full Time · Experienced · 7+ Yrs of Exp · ASP.NET · C# · .NET · WCF · MVC · SQL · SSRS · OOP · JSON · SOAP · REST · HTML5 · CSS · AJAX · JavaScript · Angular · Information Technology (IT) - September 28, 2020"
105,Sr. iOS Developer,Ebling,"Full Time · Experienced · 4+ Yrs of Exp · Computer Science · Information Technology (IT) · iOS · Computer Engineering · Swift · Objective-C · Agile · Cocoa Touch · Core Animation · Core Data - November 3, 2020"
106,Full Stack WordPress Web Developer,Infinity Business Solutions,"Full Time · Experienced · 4-6 Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · javaScript · HTML · CSS · PHP · Web Development · jQuery · HTML5 · CSS3 · JSON - October 31, 2020"
107,Senior JavaScript Developer,G-Tree Consulting Group,"Full Time · Experienced · 4+ Yrs of Exp · React.js · Nextjs · Babel · Webpack · NPM · Information Technology (IT) · Computer Science · javaScript · Software Development · React · JSON · Front-End - October 2, 2020"
108,React Front End Developer,Nile Creations,"Full Time · Entry Level · 1+ Yrs of Exp · PHP · MySQL · Magento · WordPress · Information Technology (IT) · Web Development · Plugins · CakePHP · AJAX · HTML5 · CSS3 · Bootstrap · jQuery - September 29, 2020"
109,Senior Net Developer,COLNN,"Full Time · Experienced · 5+ Yrs of Exp · Entityframework · Agile · Scrum · Information Technology (IT) · Computer Science · .NET · Software Development · C# · ASP.NET · javaScript · SQL · TFS - October 1, 2020"
110,Senior Android developer,Odiggo,"Full Time · Experienced · 3-6 Yrs of Exp · Android · Information Technology (IT) · Computer Science · Software Development · Mobile Development · Kotlin · UI · Design · Development · UX · API - October 5, 2020"
111,Web Developer,EGIC,"Full Time · Experienced · 4-5 Yrs of Exp · Web · HTML5 · CSS3 · JavaScript · JQuery · Bootstrap · .NET · Information Technology · Computer Science · Software Development · Web Development - November 4, 2020"
112,Senior Full Stack PHP Developer - 6th of...,Clavis Business Solutions,"Full Time · Experienced · 3+ Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · PHP · javaScript · Software · Programming · Development · Front-End · Back-End - October 18, 2020"
113,BPM Developer,Youxel,"Full Time · Experienced · 2-4 Yrs of Exp · Computer Science · BPM · Software Development · Information Technology (IT) · Oracle · Troubleshooting · Agile · SOAP · RESTFul · Testing · SOA · Java - November 2, 2020"
114,Senior Full Stack Nodejs Developer, ,"Full Time · Shift Based · Experienced · 3-7 Yrs of Exp · Agile · MongoDB · NodeJS · Front-End · Software Development · javaScript · React · REST · Information Technology (IT) · Computer Science - September 30, 2020"
115,iOS Mobile Developer,QCENTRIS,"Full Time · Experienced · 5+ Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · Mobile Development · iOS · Swift · Mobile Application · IT/Software Development - September 29, 2020"
116,ERPNext Developer,Kandil Industries,"Full Time · Experienced · 4-7 Yrs of Exp · Python · Information Technology (IT) · ERPNext · Computer Science · JavaScript · Computer Engineering · Frappe · HTML · Linux · Operating Systems - November 22, 2020"
117,Junior Angular Front-End Developer,IT Pillars,"Full Time · Entry Level · 1+ Yrs of Exp · Angular · CSS · HTML · CSS3 · HTML5 · UI · Information Technology (IT) · Computer skills · Microsoft office · API · Computer Science · javaScript - October 1, 2020"
118,Sales Agent,Madar plus,"Full Time · Entry Level · 1-4 Yrs of Exp · Sales · Marketing · Sales Skills · Sales Target · Communication Skills · Computer Skills · Construction · Customer Service · Marketing/PR/Advertising - November 19, 2020"
119,Web Developer (Front-End & Back-End), ,"Full Time · Experienced · 4-7 Yrs of Exp · Software Development · Information Technology (IT) · HTML · Computer Science · javaScript · CSS · PHP · Front-End · Back-End · SQL · Java · Programming - October 1, 2020"
120,Odoo Developer,MAKDZONE,"Full Time · Shift Based · Experienced · 3-5 Yrs of Exp · Startup · Information Technology (IT) · Odoo · Python · Programming · Functional · Open Source · Computer Science · Linux - September 27, 2020"
121,Full Stack Developer (Internship),Seuqel Solutions,"Internship · Student · 0-1 Yrs of Exp · PHP · JSON · React · NodeJS · XML · jQuery · Django · Laravel · Software Development · Computer Science · Computer Engineering · Full Stack · English - October 20, 2020"
122,Front-End Web Developer (Angular) - Remotely,Pan Arab Media Inc,"Full Time · Work From Home · Entry Level · 1+ Yrs of Exp · DOM · JSON · HTML5 · CSS3 · XML · JQuery · MySQL · PHP · Angular · Web Design · Software Development · Jira · javaScript · UI - October 22, 2020"
123,Business Development Specialist,Pro Solutions,Full Time · Entry Level · 1+ Yrs of Exp · Business Development · Sales · Sales Target · Sales Skills · Commerce · Art · Law · IT · Hardware · Marketing · Market Research · Business Development - New
124,Odoo Developer,Centione,"Full Time · Experienced · 3+ Yrs of Exp · Python · OpenERP · Odoo · Web Development · GitHub · Linux · Core Python · Ubuntu · OOP · Odoo Development · Programming · Github · Git · English - September 28, 2020"
125,Assistant Manager - Regulatory Compliance,Allianz,"Full Time · Manager · 3-4 Yrs of Exp · Compliance · Regulatory Compliance · Money Laundry · Financial Services · Quality · Financing Terrorism · Finance · Accounting · Accounting/Finance · Legal - October 18, 2020"
