,Job_Title,Company_Name,Skills,Level,Type,Job_Category,Years_of_experience
30,Software Developer - Experienced, HITS Technologies,· Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Integration · Software Development · Software Engineering · JSON - July 29,Experienced,Full Time,Software Engneering ,   3-6 Yrs of Ex
31,Principal Software Developer - VueJS, CrossWorkers, · Computer Science · Information Technology (IT) · Software Development · javaScript · CSS · HTML · PHP · HTML5 · Software · React · jQuery · Programming - July 12,Experienced,Full Time,Software Engneering ,   4-10 Yrs of E
32,Senior Software Developer - VB.Net, CrossWorkers, Computer Science · Information Technology (IT) · Software Development · javaScript · SQL · Software · MVC · Git · English · Programming · REST · Postman - July 12,Experienced,Full Time,Software Engneering ,   3+ Yrs of Exp
33,Mid-level Software Developer, 52nd Solution,· C# · C#.Net · Computer Science · Software Engineering · Engineering · Software Development · Information Technology (IT) · MVC · .NET · Razor · MySQL - July 21,Experienced,Full Time,Software Engneering ,   3-7 Yrs of Ex
34,Software iSeries Developer, Target Recruitment  & HR Solutions, · IT · AS400 · iSeries · IBMi · MS SQL · BI Tool · Business Object · Power BI · RPG · RPGLE · SDU · Query · CLLE · Computer Engineering - July 12,Experienced,Full Time,Software Engneering ,   5-10 Yrs of E
35,Software Development Engineer / Test SDET..., Cegedim, Computer Science · Computer Engineering · Information Technology (IT) · Test Automation · Testing · Quality · Quality Assurance · Quality Control · C# - New,Experienced,Full Time,Software Engneering ,   3+ Yrs of Exp
36,Software Developer (.Net Core), Automated Systems, .NET · APIs · OOP · RESTful · Information Technology (IT) · Software Development · Computer Science · Development · Computer Engineering · backend - July 27,Entry Level,Full Time,Software Engneering ,   1+ Yrs of Exp
37,Software Java Developer (JPA), Fawry Banking & Payment Technology Services,· Computer Science · Software · Software Development · Software Engineering · Information Technology (IT) · Design · JSP · Servlets · JSF · Web Services - July 26,Entry Level,Full Time,Software Engneering ,   1-4 Yrs of Ex
38,Software Testing Engineer, World of systems and software,· Computer Science · Information Technology (IT) · Testing · Software Development · SQL · ISTQB · Software · Software Testing · Automation · API Testing - July 12,Experienced,Full Time,Software Engneering ,   2-3 Yrs of Ex
39,Software Developer, TAB ERP Solutions, Computer Science · Software Development · Information Technology (IT) · javaScript · CSS · HTML · Angular · Development · ASP.NET · Front-End · Bootstrap - July 14,Experienced,Full Time,Software Engneering ,   2+ Yrs of Exp
40,Senior Software Developer (.NET), Veripark, .NET · ASP.NET · Information Technology (IT) · Software Development · Computer Science · javaScript · Computer Engineering · MVVM · SQL · MVC · jQuery - August 4,Experienced,Full Time,Software Engneering ,   5+ Yrs of Exp
41,Software Developer - PHP/Open Source, Flojics, · Agile · React · HTML · Design · PHP · CSS · javaScript · Software Development · Information Technology (IT) · Web Development · Front-End · Vue - July 16,Experienced,Full Time,Software Engneering ,   3-20 Yrs of E
42,Senior Software Developer, Beyond Solution, of Exp · RESTful · ReactJS · NoSQL · MySQL · MongoDB · Data Science · Data Analytics · Angular · Computer Science · Computer Engineering · JavaScript · Full Stack - July 28,Manager,Full Time,Software Engneering ,  Student · 3+ Y
43,Senior Software Developer (.Net Core), Automated Systems, APIs · .NET · Development · RESTful · RESTful APIs · Back-end · .Net Core · Computer Science · Software Development · Information Technology (IT) - July 26,Experienced,Full Time,Software Engneering ,   3+ Yrs of Exp
44,Software Developer, Interact Technology Solutions,· Microsoft Office · OOP concept · C# · ASP.NET · JavaScript · SQL · Microsoft CRM · SharePoint · MVC · Knockout · Angular JS · Computer Engineering - July 12,Experienced,Full Time,Software Engneering ,   3-5 Yrs of Ex
45,Software Development (Back End .Net) Team Lead, PaySky,rs of Exp · Information Technology (IT) · Computer Science · Software Development · javaScript · Software · HTML · SQL · .NET · C# · ASP.NET · Design · Management - July 10,Manager,Full Time,Software Engneering ,  Manager · 5-10
46,Upper Egypt Area Manager (Operations), Bosta,s of Exp · Operations · Logistics · Supply Chain · Logistics/Supply Chain · Operations/Management - June 21,Manager,Full Time,Software Engneering ,  Manager · 5-8 
47,Software Mobile Developer, GET Group- Egypt,· Software Development · Computer Science · Information Technology (IT) · Mobile Development · Android · Java · Design · Swift · Programming · Mobile - July 7,Entry Level,Full Time,Software Engneering ,   1-3 Yrs of Ex
48,Senior Software Developer, SABIS Educational Services,· Computer Science · Software Development · Information Technology (IT) · javaScript · IT/Software Development · Engineering - Telecom/Technology - July 13,Experienced,Full Time,Software Engneering ,   5-7 Yrs of Ex
49,Software Developer, BlueCloud,· Computer Science · Software Development · Information Technology (IT) · Engineering · .NET · MVC · C# · javaScript · Software · Computer Engineering - July 12,Entry Level,Full Time,Software Engneering ,   0-2 Yrs of Ex
50,Senior Software Developer, GCSSD, Software Development · Web Development · ASP.NET · C# · SQL · OOP · OOD · Web API · Web Service · HTML5 · jQuery · BootStrap · Computer Science - July 25,Experienced,Full Time,Software Engneering ,   8+ Yrs of Exp
51,Senior ADF Software Developer, Confidential, Software Development · Information Technology (IT) · Computer Science · Oracle · Engineering · ADF · English · IT/Software Development - July 5,Experienced,Full Time,Software Engneering ,   4+ Yrs of Exp
52,Senior Software Quality Control Engineer, Bnsights,· Computer Science · Quality Control · Information Technology (IT) · Quality Assurance · Software Testing · Testing · Software Development · ISTQB · Agile - July 7,Experienced,Full Time,Software Engneering ,   3-6 Yrs of Ex
53,Senior Software Engineer C++, TrustSec,· C++ · Computer Science · Information Technology (IT) · Software Development · Software Engineering · English · Programming · Troubleshooting · Linux - July 15,Experienced,Full Time,Software Engneering ,   2-5 Yrs of Ex
54,Software Developer, AK IT Consulting, · HTML · CSS · Coding · Computer Science · Software Development · javaScript · Information Technology (IT) · SAP · Oracle · NetSuite · SalesForce - June 12,Experienced,Full Time,Software Engneering ,   5-10 Yrs of E
55,Software Engineer - Java Developer, Sumerge,· Computer Science · Information Technology (IT) · Software Development · Software Engineering · Software · Java · Engineering · Computer · Science - June 22,Experienced,Full Time,Software Engneering ,   2-5 Yrs of Ex
56,Senior Software Developer, FRIDAL,· Information Technology (IT) · .NET · ASP.NET · Computer Science · Computer Engineering · Software Development · C# · MVC · HTML · Angular · OOP - June 28,Experienced,Full Time,Software Engneering ,   5-7 Yrs of Ex
57,Software Developer-Iamproperty Team (UK) -..., Procrew,  3+ Yrs of Exp · Computer Science · Software Development · Information Technology (IT) · Git · HTML · CSS · javaScript · Design · PHP · MySQL · Front-End - June 29,Experienced,Full Time,Software Engneering ,  Work From Home
58,Senior Software Developer, Brmaja,· Software Development · SQL · MVC · .NET · C# · .NET Core · Computer Science · Information Technology (IT) · javaScript · Software · Computer Engineering - July 8,Experienced,Full Time,Software Engneering ,   3-5 Yrs of Ex
59,Software Developer, Ahram Security Group,ent · C# · Software Development · Computer Science · Information Technology (IT) · English · javaScript · Telecom Engineering · IT/Software Development - June 14,Manager,Internship,Software Engneering , Internship · St
60,Senior Software Developer (Focusing on .NET), TMentors,· .Net Core · .Net · Information Technology (IT) · Software Development · Computer Science · .NET · Software Engineering · Node.js · javaScript · English - July 10,Experienced,Full Time,Software Engneering ,   2-5 Yrs of Ex
61,Senior Full Stack Software Developer (Focusing..., TMentors,· Information Technology (IT) · Computer Science · javaScript · CSS3 · HTML5 · BackboneJs · AJAX · REST · JSON · Node.js · Redux · React · Front End - July 10,Experienced,Full Time,Software Engneering ,   3-5 Yrs of Ex
62,IT Manager (Head Of IT) - (World Class..., Pillars,Yrs of Exp · Information Technology (IT) · Computer Science · IT · Microsoft Dynamics · English · IT/Software Development · Project/Program Management - July 30,Manager,Full Time,IT Category,  Manager · 10-2
63,Backend Software Developer, Genify.ai,  2-5 Yrs of Exp · Software Development · Computer Science · Software Engineering · Software · Git · REST · Python · Engineering · Flask · AWS · Docker - July 27,Experienced,Full Time,Software Engneering ,  Work From Home
64,Software Business Development Representative..., FlairsTech,-3 Yrs of Exp · Sales Skills · Sales · Business Development · B2B Sales · Communication Skills · English · Sales Target · Communication · APAC · EMEA - July 27,Entry Level,Full Time,Software Engneering ,  Shift Based · 
65,Software Developer - Front-End (React), Penta-b,· Computer Science · Software Development · React · Java · Ionic · Agile · HTML · CSS · Software · Information Technology (IT) · javaScript - June 14,Entry Level,Full Time,Software Engneering ,   1-2 Yrs of Ex
66,Senior Embedded Software Engineer, PaySky, C/C++ · ASP.NET · C# · Information Technology (IT) · Computer Science · PCI · Software Development · Software Engineering · Embedded Systems · Design - June 13,Experienced,Full Time,Software Engneering ,   5+ Yrs of Exp
67,Software Development Engineer (Machine Learning), Si-Ware Systems,· Computer Science · Software Development · Software Engineering · Engineering · machine laerning · cloud · Information Technology (IT) · Computer Engineering - June 13,Entry Level,Full Time,Software Engneering ,   0-2 Yrs of Ex
68,Senior Software Testing Engineer, Kashat, Testing · Quality · Java · SQL · Selenium · Appium · Quality Control · Scrum · Automation · Manual Testing · Information Technology (IT) · English - August 1,Experienced,Full Time,Software Engneering ,   4+ Yrs of Exp
69,Senior Software Developer, Perfect Presentation, Software Development · javaScript · .NET · Agile · Angular · Software · Computer Science · Information Technology (IT) · Computer Engineering · SQL - June 24,Experienced,Full Time,Software Engneering ,   5+ Yrs of Exp
70,Senior Quality Control Engineer (Software..., PaySky, Quality Control · Quality Assurance · Computer Science · Computer Engineering · Information Technology (IT) · Testing · Cross Browser Testing · Bugs - June 27,Experienced,Full Time,Software Engneering ,   5+ Yrs of Exp
71,IT Director, Confidential,s of Exp · Information Technology (IT) · Engineering · IT · Computer Science · Technology · Project Management · IT Operations · Information Technology · Operations - August 2,Manager,Full Time,IT Category,  Manager · 15+ 
72,Senior Software Developer, eVision, Java · Information Technology (IT) · Computer Science · Software Development · SQL · J2EE · Jira · Information Technology · Telecom Engineering · English - June 15,Experienced,Full Time,Software Engneering ,   3+ Yrs of Exp
73,Senior Software Developer – “Angular 8+”, CrossWorkers,· Computer Science · Information Technology (IT) · Software Development · Software Engineering · Software · Angular · HTML5 · Bootstrap · UI · Programming - June 15,Experienced,Full Time,Software Engneering ,   3-7 Yrs of Ex
74,IT Administrator, Ferro Egypt,· Computer Science · Database · Engineering · Information Technology (IT) · Maintenance · Microsoft Office · Networks · System Administration · SQL · Oracle - New,Experienced,Full Time,IT Category,   2-4 Yrs of Ex
75,Senior Software Developer, Wisely Insure,  3-6 Yrs of Exp · PHP · Information Technology (IT) · Software Engineering · Software Development · Computer Science · Computer Engineering · AJAX · Linux - June 13,Experienced,Full Time,Software Engneering ,  Work From Home
76,IT Technical Support Specialist, The Freak Company,· Males Only · Information Technology (IT) · Computer Science · Engineering · Technical Support · Communication · Computer · IT · Customer Service/Support - August 5,Experienced,Full Time,IT Category,   4-7 Yrs of Ex
77,Software Project Coordinator, Informatique Education,· Information Technology (IT) · Computer Science · Software · Engineering · Project Management · IT/Software Development · Project/Program Management - June 16,Experienced,Full Time,Software Engneering ,   2-4 Yrs of Ex
78,Software Team Leader - .Net Core + Angular, CrossWorkers, of Exp · Software Development · Computer Science · Information Technology (IT) · Angular · .NET · Software · English · Programming · HTML5 · IT/Software Development - August 3,Manager,Full Time,Software Engneering ,  Manager · 7+ Y
79,Software Development Engineer (Test SDET..., Cegedim, Computer Science · Computer Engineering · Information Technology (IT) · Test Automation · Testing · Quality · Quality Assurance · Quality Control · C# - June 13,Experienced,Full Time,Software Engneering ,   3+ Yrs of Exp
80,Senior PHP Developer, Qmind,· PHP · Information Technology (IT) · Computer Science · Software Development · javaScript · Computer Engineering · HTML5 · MVC · CSS3 · Front-End · Design - August 3,Experienced,Full Time,Software Engneering ,   3-5 Yrs of Ex
81,Senior Java Software Engineer - Jumia, Jumia, Programming · Docker · Development · Design · Hibernate · Computer Science · Java · Information Technology (IT) · Software Development · Software · SQL - August 4,Experienced,Full Time,Software Engneering ,   3+ Yrs of Exp
82,IT Business Solutions Specialist, Union Group,· C/C++ · ASP.net · Remedy · MS-SharePoint · Programming · Information Technology (IT) · Computer Engineering · Computer Science · Software · Communication - July 13,Experienced,Full Time,IT Category,   2-3 Yrs of Ex
83,IT Help Desk Specialist, Egypt University of Informatics (EUI),· Information Technology (IT) · Computer Science · Help Desk · Installation · Computer · Engineering · Microsoft · Microsoft Office · Communication - August 3,Experienced,Full Time,IT Category,   3-5 Yrs of Ex
84,Software Engineer Web Developer, Chubb life Insurance,· Information Technology (IT) · Software Development · Software Engineering · javaScript · Computer Science · Web Development · Software · HTML · HTML5 - June 13,Experienced,Full Time,Software Engneering ,   2-3 Yrs of Ex
85,IT Manager, Option Travel,Yrs of Exp · Males Only · Information Technology (IT) · Project Management · Computer Science · Engineering · Management · Software · Computer · Analysis · Technical - August 5,Manager,Full Time,IT Category,  Manager · 10-1
86,IT Specialist, Kasrawy Group,· Males Only · Information Technology (IT) · Technical Support · Computer Science · Information Technology · Hardware · Software · Installation · English - July 25,Entry Level,Full Time,IT Category,   1-3 Yrs of Ex
87,IT Specialist, Tres Bon,· Information Technology (IT) · IT · Helpdesk · Maintenance · Computer Science · POS Software · DVR · Fingerprint · Printers · Hardware · Software - New,Experienced,Full Time,IT Category,   2-3 Yrs of Ex
88,Java Spring Developer Team Leader, Digital Force,s of Exp · Git · Tomcat · Software Development · Information Technology (IT) · Java · Computer Science · CSS · HTML · English · Oracle DB · MS SQL · Full Stack - August 1,Manager,Full Time,Software Engneering ,  Manager · 6-9 
89,IT Manager, Confidential,Yrs of Exp · Males Only · Information Technology (IT) · Computer Science · Management · Software · Communication · Communication Skills · Computer · Technical · Analysis - July 29,Manager,Full Time,IT Category,  Manager · 12-1
90,IT Help Desk Specialist, Confidential,· Troubleshooting · Security · Software · Hardware · Computer System · Information Technology (IT) · Computer Engineering · Computer Science · Help Desk - New,Entry Level,Full Time,IT Category,   1-3 Yrs of Ex
91,Market Research Analyst - Software Domain, IDC,· Analysis · Market Research · Software · English · Analytical · Research · Data Analysis · Marketing/PR/Advertising · Analyst/Research - June 22,Experienced,Full Time,Software Engneering ,   4-8 Yrs of Ex
92,IT Help Desk, Metropolitan school,· Web development · Computer Science · Help Desk · Science · CCNA · Information Technology (IT) · A+ · N+ · Communication · English · Computer - August 5,Entry Level,Full Time,IT Category,   1-3 Yrs of Ex
93,IT Director, Our Education,t · 5+ Yrs of Exp · Information Technology (IT) · Computer Science · Software Engineering · IT · Management · Engineering · Information Technology · Computer · Managing - June 13,Manager,Full Time,IT Category,  Senior Managem
94,IT Technical Support Engineer, Digital Force,· Technical Support · Engineering · Information Technology (IT) · Computer Science · English · Maintenance · Installation · Installation/Maintenance/Repair - July 16,Experienced,Full Time,IT Category,   3-4 Yrs of Ex
95,IT Service Desk Officer, AXA Egypt,· Computer Systems · Systems · Computer · Information Technology (IT) · Installation/Maintenance/Repair · IT/Software Development - July 26,Entry Level,Full Time,IT Category,   1-2 Yrs of Ex
96,Software Delivery Manager, PaySky, of Exp · Information Technology (IT) · Computer Science · Software Development · Software · Project Management · Service Delivery · Project · Management · Engineering - August 2,Manager,Full Time,Software Engneering ,  Manager · 6+ Y
97,IT Technical Support Specialist, Compu master,· Information Technology (IT) · Technical Support · Computer Science · VMWare · Information Technology · Software · Hardware · Linux · DNS · Microsoft - July 13,Entry Level,Full Time,IT Category,   1-2 Yrs of Ex
98,IT Help Desk Specialist, E3mel Business for Financial & Managerial Consultancy,· Males Only · Information Technology (IT) · Help Desk · Installation · Computer · Technician · Systems · Computer Science · Customer Support · Support - New,Entry Level,Full Time,IT Category,   1-2 Yrs of Ex
99,Software Business Development Representative..., FlairsTech,· Sales Skills · Sales · Business Development · Software · English · Communication · B2B · B2B Sales · APAC · Sales Target · Business Development - June 16,Experienced,Full Time,Software Engneering ,   2-5 Yrs of Ex
100,Java Developer, Optimum Solutions, java · Spring · Spring Boot · Microservices · Computer Science · Information Technology (IT) · Software Development · Software · Engineering · Agile - June 17,Experienced,Full Time,Software Engneering ,   2+ Yrs of Exp
101,IT Specialist, Designy,· Information Technology (IT) · Computer Science · IT · Software · Computer · Hardware · Technical Support · Installation · CCNA · MCSA · English - August 1,Experienced,Full Time,IT Category,   2-3 Yrs of Ex
102,IT Academic Coordinator, New Generation International Schools, Information Technology (IT) · Computer Science · Engineering · Administration · Administration · IT/Software Development - August 1,Experienced,Full Time,IT Category,   2+ Yrs of Exp
103,Software Technical Lead, Dryve, of Exp · Information Technology (IT) · Computer Science · Software Development · Software · Engineering · Software Engineering · IT/Software Development - June 16,Manager,Full Time,Software Engneering ,  Manager · 8+ Y
104,Junior IT Specialist, Jessour Misr,· Computer Engineering · Information Technology (IT) · Software Engineering · Software Development · PHP · Java · Odoo · Computer Science · IT Engineering - June 13,Entry Level,Full Time,IT Category,   1-2 Yrs of Ex
105,IT System Administrator, Unimix Egypt for Readymix concrete,· IT · Computer Science · Information Technology (IT) · System Administration · Engineering · ERP · Cisco · SAP · Sophos · VMWare · IT/Software Development - August 3,Experienced,Full Time,IT Category,   3-5 Yrs of Ex
106,IT Specialist, Confidential,· Information Technology (IT) · Installation · food and beverage · restaurant · hotel · Software · Computer Science · Technical Support · Computer · CCNA - July 29,Entry Level,Full Time,IT Category,   1-3 Yrs of Ex
107,IT Operation System Specialist, Confidential,· Information Technology (IT) · Computer Science · Installation · Engineering · Operating Systems · Systems · Technology · Computer Engineering - August 2,Experienced,Full Time,IT Category,   3-6 Yrs of Ex
108,IT Technical Support Specialist, Sky Holding,· Information Technology (IT) · Customer Support · Computer Science · Technical Support · Troubleshooting · MCSA · Help Desk · CCNA · Cisco · English - New,Experienced,Full Time,IT Category,   2-3 Yrs of Ex
109,Human Resources Business Partner (IT Background), 360Imaging, Human Resources (HR) · Business Administration · Management · PHR · HR · Recruitment · IT · IT Recruitment · Computer Skills · Human Resources - June 15,Experienced,Full Time,IT Category,   5+ Yrs of Exp
110,IT Executive, InfoFort Egypt S.A.E.,· Computer Engineering · IT · English · CCNA · MCSE · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology - June 27,Experienced,Full Time,IT Category,   2-3 Yrs of Ex
111,IT Specialist, Confidential, · Computer Science · IT · Technical Support · Information Technology (IT) · Technical · English · Computer Engineering · Communication Skills · Hardware - August 1,Experienced,Full Time,IT Category,   4-10 Yrs of E
112,IT Support Specialist - Hardware, Hamza Group,· Males Only · Information Technology (IT) · IT · Hardware · Network · Computer Science · Technical Support · Installation · Windows 10 · Security · Cloud - July 25,Experienced,Full Time,IT Category,   2-4 Yrs of Ex
113,IT System Administration Engineer- Alexandria, Advanced Chemical Industries,· Information Technology (IT) · Software · Network Servers · Technology Tools · Firewall · Network Systems · Computer Science · MCSA · CCNA · VMware - New,Entry Level,Full Time,IT Category,   1-3 Yrs of Ex
114,IT Technical Support Specialist, Confidential,· Males Only · Computer Science · Information Technology (IT) · Technical Support · Engineering · IT · Installation · Hardware · Software · Help Desk - August 5,Experienced,Full Time,IT Category,   3-5 Yrs of Ex
115,Software Business Analyst, Rowaad,· Business Analysis · Software Business · Software · Software Engineering · Information Technology (IT) · Agile · Software Development · Mobile Software - New,Experienced,Full Time,Software Engneering ,   2-5 Yrs of Ex
116,IT Support Engineer, Confidential,· Information Technology (IT) · Computer Science · Technical Support · Help Desk · IT · Engineering · Software · Computer · Linux · Communication - July 27,Experienced,Full Time,IT Category,   2-4 Yrs of Ex
117,IT Specialist, Somabay,· Information Technology (IT) · Computer Science · Installation · Technical Support · Computer · MCSA · CCNA · Installation/Maintenance/Repair - July 28,Entry Level,Full Time,IT Category,   1-3 Yrs of Ex
118,IT Team Lead, El-Sewedy Electrometer, of Exp · Information Technology (IT) · Computer Science · Information Technology · Installation · Maintenance · Troubleshooting · Installation/Maintenance/Repair - July 29,Manager,Full Time,IT Category,  Manager · 5+ Y
119,IT Help Desk أخصائي دعم تقني, Eldib & Co,· Males Only · Help Desk · Technical Support · Computer Science · Engineering · Computer Hardware · English · Installation/Maintenance/Repair - July 26,Entry Level,Full Time,IT Category,   1-3 Yrs of Ex
120,Senior Sales Account Manager - IT Infrastructure, Compuroots,· Information Technology (IT) · Computer Science · Sales · Account Management · Sales Planning · Sales Strategies · Software · Hardware · Customer Service - August 5,Entry Level,Full Time,IT Category,   1-5 Yrs of Ex
121,Android Software Engineer - Alexandria, Softxpert Incorporation,· Android · Java · C++ · APIS · GIT · SVN · Information Technology (IT) · Android SDK · Android Applications · Computer Engineering · TDD · Design - New,Entry Level,Full Time,Software Engneering ,   1-2 Yrs of Ex
122,IT Manager, StatsBomb, of Exp · Computer Science · Technical Support · Firewalls · SOPHOS · Information Technology (IT) · Installation · English · Engineering · Project Management - July 7,Manager,Full Time,IT Category,  Manager · 3+ Y
123,Software Tester, Caduceus Lane,· Software Testing · Quality Control · Information Technology (IT) · Computer Science · Testing · Software · Software Development · Web · Test · Development - New,Experienced,Full Time,Software Engneering ,   3-5 Yrs of Ex
124,IT Administrator, Kama Manufacturing,· Information Technology (IT) · System Administration · Computer Engineering · Computer Science · Engineering · Software · Security · IT Admin · Computer - July 31,Entry Level,Full Time,IT Category,   0-2 Yrs of Ex
125,IT Help Desk Technician, AIU, Information Technology (IT) · Help Desk · Installation · Hardware · Software · Computer Science · Computer Systems · Networking · Communication · Science - July 29,Experienced,Full Time,IT Category,   2+ Yrs of Exp
